id,code_prefix_start,code_prefix_end,name
account_group_01,010000,019999,СЧЕТА УЧЕТА ОСНОВНЫХ  СРЕДСТВ
account_group_02,020000,029999,СЧЕТА УЧЕТА ИЗНОСА ОСНОВНЫХ  СРЕДСТВ
account_group_03,030000,039999,"СЧЕТА УЧЕТА ОСНОВНЫХ  СРЕДСТВ, ПОЛУЧЕННЫХ ПО ДОГОВОРАМ ЛИЗИНГА"
account_group_04,040000,049999,СЧЕТА УЧЕТА НЕМАТЕРИАЛЬНЫХ  АКТИВОВ
account_group_05,050000,059999,СЧЕТА УЧЕТА АМОРТИЗАЦИИ  НЕМАТЕРИАЛЬНЫХ  АКТИВОВ
account_group_06,060000,069999,СЧЕТА УЧЕТА ДОЛГОСРОЧНЫХ ИНВЕСТИЦИЙ
account_group_07,070000,079999,СЧЕТА УЧЕТА ОБОРУДОВАНИЯ К УСТАНОВКЕ
account_group_08,080000,089999,СЧЕТА УЧЕТА КАПИТАЛЬНЫХ  ВЛОЖЕНИЙ
account_group_09,090000,099999,СЧЕТА УЧЕТА ДОЛГОСРОЧНОЙ ДЕБИТОРСКОЙ ЗАДОЛЖЕННОСТИ
account_group_10,100000,109999,СЧЕТА УЧЕТА МАТЕРИАЛОВ
account_group_15,150000,159999,СЧЕТА УЧЕТА ЗАГОТОВЛЕНИЯ И ПРИОБРЕТЕНИЯ МАТЕРИАЛОВ
account_group_16,160000,169999,СЧЕТА УЧЕТА ОТКЛОНЕНИЙ В СТОИМОСТИ МАТЕРИАЛОВ
account_group_20,200000,209999,СЧЕТА УЧЕТА ОСНОВНОГО  ПРОИЗВОДСТВА
account_group_21,210000,219999,СЧЕТА УЧЕТА ПОЛУФАБРИКАТОВ СОБСТВЕННОГО ПРОИЗВОДСТВА
account_group_23,230000,239999,СЧЕТА УЧЕТА ВСПОМОГАТЕЛЬНЫХ ПРОИЗВОДСТВ
account_group_25,250000,259999,СЧЕТА УЧЕТА ОБЩЕПРОИЗВОДСТВЕННЫХ РАСХОДОВ
account_group_26,260000,269999,СЧЕТА УЧЕТА БРАКА В ПРОИЗВОДСТВЕ
account_group_27,270000,279999,СЧЕТА УЧЕТА ОБСЛУЖИВАЮЩИХ ХОЗЯЙСТВ
account_group_28,280000,289999,СЧЕТА УЧЕТА ГОТОВОЙ  ПРОДУКЦИИ
account_group_29,290000,299999,СЧЕТА УЧЕТА ТОВАРОВ
account_group_31,310000,319999,СЧЕТА УЧЕТА РАСХОДОВ БУДУЩИХ ПЕРИОДОВ
account_group_32,320000,329999,СЧЕТА УЧЕТА ОТСРОЧЕННЫХ РАСХОДОВ
account_group_40,400000,409999,СЧЕТА К ПОЛУЧЕНИЮ
