"name","street","street2","zip","city","country:id","phone","email","bic"
"Межбанковский Центр расчетов Центрального банка","100001, г. Ташкент, Мирабадский район, ул. Ислама Каримова, 6",,,"г.Ташкент","base.uz",,,"00001"
"Клиринговый центр розничных платежей Центрального банка","100001, г. Ташкент, Мирабадский район, ул. Ислама Каримова, 6",,,"г.Ташкент","base.uz",,,"00002"
"Клиринговый центр мгновенных платежей Центрального банка","100001, г. Ташкент, Мирабадский район, ул. Ислама Каримова, 6",,,"г.Ташкент","base.uz",,,"00003"
"Расчетно-кассовый центр Центрального банка по г. Ташкенту","100001, г. Ташкент, Мирабадский район, ул. Ислама Каримова, 6",,,"г.Ташкент","base.uz",,,"00014"
"Расчетно-кассовый центр Центрального банка по Республике Каракалпакстан","230100, Республика Каракалпакстан, г. Нукус, ул. Каракалпакстанская, 18",,,"Республика Каракалпакстан","base.uz",,,"00015"
"Расчетно-кассовый центр Центрального банка по Андижанской области","170100, Андижанская область, г. Андижан, проспект Навои, 17",,,"Андижанская область","base.uz",,,"00016"
"Расчетно-кассовый центр Центрального банка по Бухарской области","200114, Бухарская область, г. Бухара, ул. Мустакиллик, 28/1",,,"Бухарская область","base.uz",,,"00017"
"Расчетно-кассовый центр Центрального банка по Джизакской области","130100, Джизакская область, г. Джизак, проспект Ш.Рашидова, 16",,,"Джизакская область","base.uz",,,"00018"
"Расчетно-кассовый центр Центрального банка по Кашкадарьинской области","180100, Кашкадарьинская область, г. Карши, проспект Мустакиллик, 3",,,"Кашкадарьинская область","base.uz",,,"00019"
"Расчетно-кассовый центр Центрального банка по Навоийской области","210109, Навоийская область, г. Навои, проспект Галаба, 220",,,"Навоийская область","base.uz",,,"00020"
"Расчетно-кассовый центр Центрального банка по Наманганской области","160136, Наманганская область, г. Наманган, ул. Боборахима Машраба, 2",,,"Наманганская область","base.uz",,,"00021"
"Расчетно-кассовый центр Центрального банка по Самаркандской области","140100, Самаркандская область, г. Самарканд, ул. Шохрух, 19",,,"Самаркандская область","base.uz",,,"00022"
"Расчетно-кассовый центр Центрального банка по Сырдарьинской области","120100, Сырдарьинская область, г. Гулистан, ул. Узбекистанская, 93",,,"Сырдарьинская область","base.uz",,,"00023"
"Расчетно-кассовый центр Центрального банка по Сурхандарьинской области","190112, Сурхандарьинская область, г. Термез, ул. Ат-Термизий, 7-А",,,"Сурхандарьинская область","base.uz",,,"00024"
"Расчетно-кассовый центр Центрального банка по Ташкентской области","100019, г. Ташкент, Алмазарский район, ул. А.Кадыри, 1-А",,,"г.Ташкент","base.uz",,,"00025"
"Расчетно-кассовый центр Центрального банка по Ферганской области","150100, Ферганская область, г. Фергана, ул. Ал-Фаргоний, 9",,,"Ферганская область","base.uz",,,"00026"
"Расчетно-кассовый центр Центрального банка по Хорезмской области","220100, Хорезмская область, г. Ургенч, Тинчлик, 20",,,"Хорезмская область","base.uz",,,"00027"
"Пахтаабадский филиал Агробанка","171300, Андижанская область, Пахтаабадский район, г. Пахтаабад, ул. Амира Темура, 8",,,"Андижанская область","base.uz",,,"00031"
"Асакинский филиал Агробанка","170200, Андижанская область, Асакинский район, г. Асака, ул. А. Навои, 1",,,"Андижанская область","base.uz",,,"00033"
"Мархаматский филиал Агробанка","170800, Андижанская область, Мархаматский район, г. Мархамат, ул. Мухитдинова, 109",,,"Андижанская область","base.uz",,,"00035"
"Шахриханский филиал Агробанка","171600, Андижанская область, Шахриханский район, г. Шахрихан, проспект Шахриханский, 1",,,"Андижанская область","base.uz",,,"00037"
"Шахриханский филиал HAMKORBANK","171600, Андижанская область, Шахриханский район, г. Шахрихан, ул. Хамзы, 2",,,"Андижанская область","base.uz",,,"00039"
"Джалакудукский филиал Агробанка","171100, Андижанская область, Джалалкудукский район, ул. Узбекистанская, 41",,,"Андижанская область","base.uz",,,"00040"
"Ходжаабадский филиал Агробанка","Андижанская область, Ходжаабадский район, г. Ходжаабад, ул. А. Навои, 85",,,"Андижанская область","base.uz",,,"00042"
"Избасканский филиал Агробанка","171200, Андижанская область, Избасканский район, г. Пайтуг, ул. Е. Кабулова, 3",,,"Андижанская область","base.uz",,,"00045"
"Алтынкульский филиал Агробанка","171000, Андижанская область, Алтынкульский район, нп Алтынкуль, ул. Туркистан, 6",,,"Андижанская область","base.uz",,,"00049"
"Ханабадский филиал Узпромстройбанка","171500, Андижанская область, г.Ханабад, ул. Фарогат, 2",,,"Андижанская область","base.uz",,,"00051"
"Бузский филиал Агробанка","170400, Андижанская область, Бозский район, гп Боз, ул. А. Икрамова, 79",,,"Андижанская область","base.uz",,,"00053"
"Улугнорский филиал Агробанка","170900, Андижанская область, Улугнорский район, гп Ок-олтин, ул. Мустакиллик, 1",,,"Андижанская область","base.uz",,,"00055"
"Кургантепинский филиал Агробанка","170700, Андижанская область, Кургантепинский район, г. Кургантепа, ул. К. Юнусова, 8",,,"Андижанская область","base.uz",,,"00056"
"Кургантепинский филиал Кишлок курилиш банка","170700, Андижанская область, Кургантепинский район, г. Кургантепа, ул. Мукумий, 100",,,"Андижанская область","base.uz",,,"00058"
"Андижанский областной филиал Ипотека банка","170100, Андижанская область, г. Андижан, ул. Анисий, 1",,,"Андижанская область","base.uz",,,"00059"
"Андижанский филиал Агробанка","170600, Андижанская область, Андижанский район, г. Куйган-яр, ул. Ю. Юнусова, 23",,,"Андижанская область","base.uz",,,"00062"
"Булакбашинский филиал Агробанка","Андижанская область, Булакбашинский район, гп Булокбоши, ул. Ташкечик, 30-а",,,"Андижанская область","base.uz",,,"00064"
"Балыкчинский филиал Агробанка","170300, Андижанская область, Балыкчинский район, гп Баликчи, ул. Балыкчи, 9",,,"Андижанская область","base.uz",,,"00066"
"Филиал ""Истиклол"" Ипотека банка","170100, Андижанская область, г. Андижан, ул. Истиклол, 22",,,"Андижанская область","base.uz",,,"00068"
"Андижанский областной филиал Асака банка","170112, Андижанская область, г. Андижан, ул. Миллий тикланиш, 41",,,"Андижанская область","base.uz",,,"00069"
"Асакинский филиал HAMKORBANK","170200, Андижанская область, Асакинский район, г. Асака, ул. Карвонсарой, 64",,,"Андижанская область","base.uz",,,"00070"
"Кургантепинский филиал HAMKORBANK","170711, Андижанская область, Кургантепинский район, г. Кургантепа, ул. Мустакиллик, 98",,,"Андижанская область","base.uz",,,"00071"
"Ходжаабадский филиал HAMKORBANK","171403, Андижанская область, Ходжаабадский район, г. Ходжаабад, ул. Узбекистанская, 25",,,"Андижанская область","base.uz",,,"00072"
"Асакинский филиал Асака банка","170200, Андижанская область, Асакинский район, г. Асака, ул. Г. Ёкубова, 14",,,"Андижанская область","base.uz",,,"00073"
"Андижанское отделение Узнацбанка","170121, Андижанская область, г. Андижан, проспект А. Навои, 39",,,"Андижанская область","base.uz",,,"00074"
"Андижанский региональный филиал Узпромстройбанка","170119, Андижанская область, г. Андижан, ул. Бобуршох, 36",,,"Андижанская область","base.uz",,,"00075"
"Бунёдкорский филиал Узпромстройбанка","170100, Андижанская область, г. Андижан, проспект Амира Темура, 24",,,"Андижанская область","base.uz",,,"00076"
"Андижанский областной территориальный филиал Агробанка","Андижанская область, г.Андижан, ул. Пушкина, 47",,,"Андижанская область","base.uz",,,"00077"
"Андижанский областной филиал Микрокредитбанка","170120, Андижанская область, г. Андижан, ул. Миллий тикланиш , 48",,,"Андижанская область","base.uz",,,"00078"
"Нодирабегимский филиал HAMKORBANK","170102, Андижанская область, г. Андижан, ул. Базар, 2",,,"Андижанская область","base.uz",,,"00079"
"Андижанский филиал Савдогар банка","173000, Андижанская область, г. Андижан, ул. Байналминал, 2",,,"Андижанская область","base.uz",,,"00081"
"Андижанский региональный филиал Кишлок курилиш банка","170102, Андижанская область, г. Андижан, ул. А. Фитрата, 239",,,"Андижанская область","base.uz",,,"00082"
