"name","full_name"
"01111","01111 - Выращивание зерновых культур (кроме риса)"
"01112","01112 - Выращивание бобовых культур"
"01113","01113 - Выращивание масличных культур и их семян"
"01120","01120 - Выращивание риса"
"01131","01131 - Выращивание овощей"
"01132","01132 - Выращивание бахчевых"
"01133","01133 - Выращивание корнеплодов и клубнеплодов с высоким содержанием крахмала и инулина и их семян"
"01139","01139 - Выращивание прочих корне- и клубнеплодных культур и их семян, грибов и трюфелей"
"01140","01140 - Выращивание сахарного тростника"
"01150","01150 - Выращивание табака"
"01161","01161 - Выращивание хлопчатника"
"01162","01162 - Выращивание льна"
"01169","01169 - Выращивание прочих прядильных (лубяных) культур"
"01191","01191 - Выращивание кормовых культур и их семян"
"01192","01192 - Выращивание цветов и их семян"
"01199","01199 - Выращивание прочих не многолетних культур, не включенных в другие категории"
"01210","01210 - Выращивание винограда"
"01220","01220 - Выращивание тропических и субтропических фруктов"
"01230","01230 - Выращивание цитрусовых фруктов"
"01240","01240 - Выращивание косточковых и семечковых плодов"
"01250","01250 - Выращивание прочих видов плодовых деревьев, кустарников и орехов"
"01260","01260 - Выращивание масленичных фруктов"
"01270","01270 - Выращивание культур для производства напитков"
"01280","01280 - Выращивание специй, ароматических, сильнодействующих наркотических и фармацевтических культур"
"01290","01290 - Выращивание прочих многолетних культур"
"01300","01300 - Производство продукции питомников"
"01410","01410 - Разведение молочных пород крупного рогатого скота"
"01420","01420 - Разведение прочих пород крупного рогатого скота и буйволов"
"01431","01431 - Разведение лошадей"
"01432","01432 - Разведение ослов, мулов и лошаков и прочих копытных пород"
"01440","01440 - Разведение верблюдов и верблюдовых"
"01451","01451 - Разведение овец каракульских пород"
"01452","01452 - Разведение овец, кроме каракульских пород"
"01453","01453 - Разведение коз"
"01460","01460 - Разведение свиней и поросят"
"01470","01470 - Птицеводство"
"01491","01491 - Разведение шелкопряда"
"01492","01492 - Разведение пчел"
"01493","01493 - Разведение кроликов и прочих пушных зверей"
"01499","01499 - Разведение прочих животных, не включенных в другие категории"
"01500","01500 - Смешанное сельское хозяйство"
"01611","01611 - Предоставление сельскохозяйственной техники вместе с оператором и техническим персоналом"
"01612","01612 - Защита растений от болезней и насекомых-вредителей, а также грызунов"
"01613","01613 - Обслуживание сельскохозяйственного поливного оборудования"
"01619","01619 - Предоставление прочих услуг в области растениеводства"
"01620","01620 - Вспомогательные виды деятельности по разведению животных"
"01630","01630 - Сельскохозяйственная деятельность после сбора урожая"
"01640","01640 - Обработка и подготовка семян для размножения"
"01700","01700 - Охота и отлов диких животных, включая предоставление услуг в этих областях"
"02100","02100 - Лесоводство и прочая лесохозяйственная деятельность"
"02200","02200 - Лесозаготовки"
"02300","02300 - Сбор не древесных лесопродуктов"
"02400","02400 - Технические услуги в области лесоводства"
"03110","03110 - Морское рыболовство"
"03120","03120 - Пресноводное рыболовство"
"03210","03210 - Аквакультура морская"
"03220","03220 - Аквакультура пресноводная"
"05100","05100 - Добыча каменного угля"
"05200","05200 - Добыча лигнита"
"06100","06100 - Добыча сырой нефти"
"06200","06200 - Добыча природного газа"
"07100","07100 - Добыча железной руды"
"07210","07210 - Добыча урановой и ториевой руды"
"07290","07290 - Добыча руд прочих цветных металлов"
"08110","08110 - Добыча отделочного и строительного камня, известняка, гипса, мела и сланцев"
"08120","08120 - Разработка гравийных и песчаных карьеров, добыча глины и каолина"
"08910","08910 - Добыча минерального сырья для химической промышленности и производства удобрений"
"08920","08920 - Добыча торфа"
"08930","08930 - Добыча соли"
"08990","08990 - Деятельность горнодобывающей промышленности, не включенной в другие категории"
"09100","09100 - Технические услуги в области добычи нефти и природного газа"
"09900","09900 - Техническая поддержка для прочих областей горнодобывающей промышленности и подземной разработки"
